"","variable","ReportWeek","ave.week.sum"
"468","amount",2006-08-25,0.7
"469","amount",2006-09-01,0.1
"470","amount",2006-09-08,0
"471","amount",2006-09-15,14
"472","amount",2006-09-22,0
"473","amount",2006-09-29,6.5
"474","amount",2006-10-06,20.8
"475","amount",2006-10-13,2.6
"476","amount",2006-10-20,0.7
"477","amount",2006-10-27,21.5
"478","amount",2006-11-03,4.8
"479","amount",2006-11-10,27.7
"480","amount",2006-11-17,0
"481","amount",2006-11-24,1.1
"482","amount",2006-12-01,4.3
"483","amount",2006-12-08,19.7
"484","amount",2006-12-15,2.6
"485","amount",2006-12-22,34.5
"486","amount",2006-12-29,6.7
"487","amount",2007-01-05,5.2
"488","amount",2007-01-12,12.3
"489","amount",2007-01-19,2.6
"490","amount",2007-01-26,5.3
"491","amount",2007-02-02,5.3
"492","amount",2007-02-09,38.45
"493","amount",2007-02-16,0.5
"494","amount",2007-02-23,1.4
"495","amount",2007-03-02,0.65
"496","amount",2007-03-09,0.4
"497","amount",2007-03-16,16.45
"498","amount",2007-03-23,2.2
"499","amount",2007-03-30,4.3
"500","amount",2007-04-06,12.9
"501","amount",2007-04-13,2.7
"502","amount",2007-04-20,2.2
"503","amount",2007-04-27,2.4
"504","amount",2007-05-04,11.6
"505","amount",2007-05-11,0.1
"506","amount",2007-05-18,0
"507","amount",2007-05-25,0
"508","amount",2007-06-01,0.1
"509","amount",2007-06-08,0
"510","amount",2007-06-15,59.55
"511","amount",2007-06-22,24.8
"512","amount",2007-06-29,10.8
"513","amount",2007-07-06,27.9
"514","amount",2007-07-13,22.1
"515","amount",2007-07-20,117.55
"516","amount",2007-07-27,3.4
"517","amount",2007-08-03,15
"518","amount",2007-08-10,5.1
"519","amount",2007-08-17,11.1
"520","amount",2007-08-24,3.9
"521","amount",2007-08-31,30.85
"522","amount",2007-09-07,16.95
"523","amount",2007-09-14,21.1
"524","amount",2007-09-21,3.5
"525","amount",2007-09-28,11.8
"526","amount",2007-10-05,2.8
"527","amount",2007-10-12,1.9
"528","amount",2007-10-19,16.6
"529","amount",2007-10-26,2.1
"530","amount",2007-11-02,0
"531","amount",2007-11-09,0.3
